Marque,Série,Modèle extérieur,Type,URL du document officiel ou portail,Type de document,Couverture confirmée,Niveau de confiance,Statut Deep Research,Anomalie ou limite,Source technique ENERGY STAR
AC PRO,4HP17 SERIES,4HP17L42P-**A,central,https://cdn.gateway.acpro.com/documents/A-Series_4HP17L_Product_Specifications.pdf,Fiche technique PDF,Série et modèle,Élevée,Document officiel trouvé et examiné,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,BH714S SERIES,BH714S24P-**A,central,https://acpro.com/hvac-equipment/,Portail fabricant/distributeur,Série non appariée à un PDF exact,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,BH714S SERIES,BH714S30P-**A,central,https://acpro.com/hvac-equipment/,Portail fabricant/distributeur,Série non appariée à un PDF exact,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,BH714S Series,BH714S36P-**A,central,https://acpro.com/hvac-equipment/,Portail fabricant/distributeur,Série non appariée à un PDF exact,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,BH719M SERIES,BH719M36P-**A,central,https://acpro.com/hvac-equipment/,Portail fabricant/distributeur,Série non appariée à un PDF exact,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,BH719M SERIES,BH719M60P-**A,central,https://acpro.com/hvac-equipment/,Portail fabricant/distributeur,Série non appariée à un PDF exact,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,SPHP Series,SPHP-Y-V018BB,central,https://cdn.acpro.com/documents/SS-10184EN-C_-_SPHP-Y-V018BB_Submittal_Data_Sheet.pdf,Submittal PDF,Modèle exact,Élevée,Document officiel trouvé et examiné,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,SPHP Series,SPHP-Y-V024BB,central,https://acpro.com/hvac-equipment/,Portail fabricant/distributeur,Série non appariée à un PDF exact,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,SPHP Series,SPHP-Y-V036BB,central,https://acpro.com/hvac-equipment/,Portail fabricant/distributeur,Série non appariée à un PDF exact,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,SPHP Series,SPHP-Y-V048BB,central,https://acpro.com/hvac-equipment/,Portail fabricant/distributeur,Série non appariée à un PDF exact,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
